rating,audience_score,title,credit,box_office,year
95,92,Little Women,Meg March (Character),108.1,2019
71,80,Beauty and the Beast,Belle (Character),504,2017
15,21,The Circle,Mae Holland (Character),20.5,2017
76,41,Noah,Ila (Character),101.2,2014
83,71,This Is the End,Self,101.5,2013
60,33,The Bling Ring,Nicki (Character),5.8,2013
85,89,The Perks of Being a Wallflower,Sam (Character),17.7,2012
96,89,Harry Potter and the Deathly Hallows: Part 2,Hermione Granger (Character),381,2011
77,85,Harry Potter and the Deathly Hallows: Part 1,Hermione Granger (Character),295,2010
84,78,Harry Potter and the Half-Blood Prince,Hermione Granger (Character),302,2009
77,81,Harry Potter and the Order of the Phoenix,Hermione Granger (Character),292,2007
88,74,Harry Potter and the Goblet of Fire,Hermione Granger (Character),290,2005
90,86,Harry Potter and the Prisoner of Azkaban,Hermione Granger (Character),249.4,2004
82,80,Harry Potter and the Chamber of Secrets,Hermione Granger (Character),262,2002
81,82,Harry Potter and the Sorcerer's Stone,Hermione Granger (Character),317.6,2001
